bird.num,motusTagID,dos,tspre,tspost,tsmax.dt,meanpre,meanpost,varpre,varpost,cpt,batch,postfilter,time,Dates,sunrise.UTC,cpt.sr,postfiltercol,postfilterlntyp
2,90345,156,9.7,0,25:33.6,0.559242931,1.238220985,0.086139396,0.796177468,48:08.6,11,good,9.8,2025-04-07,2025-04-07 10:25,-37.52394167,black,1
5,68910,36,14.6,7.3,52:59.0,0.653673936,0.490680438,0.135944314,0.045951026,49:42.0,1,bad,9.816666667,2022-11-18,2022-11-18 12:00,-130.3333367,red,2
2,68912,68,0,7.3,38:24.2,0.431272738,0.320884056,0.093770063,0.069397803,49:15.3,2,bad,9.816666667,2022-12-30,2022-12-30 12:36,-167.4276117,red,2
3,90326,34,9.7,0,17:02.8,0.526597835,0.407685665,0.107697683,0.070142246,49:39.6,9,bad,9.816666667,2024-11-25,2024-11-25 12:09,-140.2402417,red,2
4,68919,46,7.3,51.09,30:02.0,0.440825915,1.426721563,0.079080305,0.753870673,50:59.7,3,good,9.85,2022-12-15,2022-12-15 12:30,-159.0888517,black,1
5,77881,158,9.7,0,17:20.9,0.592167412,1.341742613,0.114320801,0.542495404,51:53.4,6,good,9.85,2024-04-10,2024-04-10 10:19,-27.792515,black,1
5,77901,5,9.7,0,42:58.0,0.642958575,0.811222087,0.076275367,0.192572852,51:58.5,8,good,9.85,2023-10-23,2023-10-23 11:23,-91.34126667,black,1
2,90345,151,9.7,0,34:57.8,0.517392082,1.089527595,0.056065664,0.65019087,51:04.8,11,good,9.85,2025-04-02,2025-04-02 10:35,-43.93622833,black,1
2,68917,166,0,7.3,20:58.4,0.754198754,1.212444424,0.104989629,0.725727793,52:13.1,3,good,9.866666667,2023-04-10,2023-04-10 10:21,-28.81487667,black,1
2,68907,160,0,7.3,35:33.2,0.421707096,0.45852896,0.041704927,0.051424179,53:17.4,1,good,9.883333333,2023-03-17,2023-03-17 11:06,-73.20960333,black,1
8,77874,269,0,0,33:27.5,0.578450143,0.633541359,0.084084719,0.106332867,53:16.2,5,good,9.883333333,2024-07-25,2024-07-25 9:33,19.70284667,black,1
5,77881,156,0,9.7,21:05.7,0.541843281,1.032821971,0.089121573,0.316657777,53:12.7,6,good,9.883333333,2024-04-08,2024-04-08 10:23,-30.121155,black,1
5,77881,161,9.7,9.7,59:52.4,0.623945503,1.248620008,0.070500864,0.524359713,53:27.8,6,good,9.883333333,2024-04-13,2024-04-13 10:14,-20.80357833,black,1
10,77886,153,9.7,9.7,14:04.2,0.515490517,0.999032062,0.049630482,0.382245265,53:57.1,6,good,9.883333333,2024-04-11,2024-04-11 10:17,-23.91549833,black,1
8,77874,230,0,0,07:53.7,0.607356012,0.558006235,0.102939176,0.093195709,54:12.6,5,bad,9.9,2024-06-16,2024-06-16 9:08,46.193905,red,2
2,90345,155,0,9.7,27:22.6,0.652194449,1.262308436,0.087254499,0.738804565,54:38.9,11,good,9.9,2025-04-06,2025-04-06 10:27,-32.86866,black,1
2,90345,157,9.7,0,23:44.8,0.639146586,1.247415818,0.095368449,0.752540263,54:05.3,11,good,9.9,2025-04-08,2025-04-08 10:23,-29.72751333,black,1
5,77881,155,0,9.7,24:59.3,0.52648173,1.307839855,0.072385261,0.779440978,55:48.8,6,good,9.916666667,2024-04-07,2024-04-07 10:25,-29.37057,black,1
10,77886,152,9.7,9.7,04:54.3,0.436220574,1.28432813,0.036895198,0.532686255,55:37.0,6,good,9.916666667,2024-04-10,2024-04-10 10:19,-24.06605167,black,1
2,90335,163,9.7,0,16:53.1,0.440232721,0.727253853,0.111155718,0.316107931,55:52.3,10,good,9.916666667,2025-04-05,2025-04-05 10:29,-33.51111833,black,1
7,90363,143,0,9.7,26:21.7,0.625881565,1.225856873,0.091523465,0.786406176,55:15.4,12,good,9.916666667,2025-04-06,2025-04-06 10:27,-32.26080166,black,1
7,90363,145,9.7,0,57:45.2,0.655949663,1.273389607,0.086989331,0.788783665,55:25.2,12,good,9.916666667,2025-04-08,2025-04-08 10:23,-28.39707,black,1
5,77881,264,9.7,9.7,33:27.3,0.61465788,0.493038732,0.107066175,0.08663227,56:49.2,6,bad,9.933333333,2024-07-25,2024-07-25 9:33,23.253555,red,2
9,90343,164,0,9.7,16:28.2,0.639847566,1.043144737,0.120914051,0.648793161,56:21.3,10,good,9.933333333,2025-04-12,2025-04-12 10:16,-20.178265,black,1
5,68915,162,7.3,7.3,11:21.5,0.69331188,1.187224673,0.07958351,0.337511861,57:48.6,2,good,9.95,2023-04-05,2023-04-05 10:30,-32.47361166,black,1
5,77881,256,9.7,9.7,25:05.5,0.602183497,0.509758065,0.098172365,0.094276398,57:11.1,6,bad,9.95,2024-07-17,2024-07-17 9:25,31.96901667,red,2
10,77886,151,9.7,9.7,32:18.2,0.460245134,1.158100463,0.055327398,0.413655606,57:46.1,6,good,9.95,2024-04-09,2024-04-09 10:21,-23.73141,black,1
